Feature_1,Feature_2,Label
2.404348251398676,5.328276804316915,1
2.7278086377374087,5.055461294854933,1
6.06014781585595,2.2572194170293747,1
2.5092456744760243,5.231051737131636,1
3.029104359223,4.428514851084689,1
2.803945923433921,4.268242525933941,1
6.355807439044445,1.4376789540810653,1
2.6991466938853015,5.926139092254469,1
2.5957531985534064,4.749121478207732,1
5.580139078909612,1.700303677277989,1
3.5154997612479755,5.465640059558099,1
2.6996806550405976,4.854153125103362,1
6.414702790591744,0.8944323454960574,1
6.169248203747207,1.7923560430495993,1
6.166157005989795,1.6257567317217232,1
3.3955159735215235,4.54530627260263,1
3.9328872555723784,5.236916460455894,1
3.0065009459389533,5.726767038578658,1
2.6599876392107547,5.116126848580501,1
3.5415256215876383,5.526901026017452,1
6.049666152714613,2.3756935616858943,1
4.980937732411073,1.4959568445412978,1
2.882923312638332,4.88293152152541,1
5.668688120527077,2.2852993342965795,1
7.076591228755778,1.6163262185559752,1
2.60373963078365,4.94263177926655,1
6.822483856750642,1.8754819802218108,1
2.705317621527894,5.4248010485105125,1
5.148308780322423,1.9722261505516907,1
5.620433669223151,2.075196893238104,1
2.828642741736615,4.59886136538919,1
6.259673257120586,2.766369456501289,1
5.5071369768322285,2.252023257758922,1
5.996013679341691,2.739972069445013,1
5.650137246003707,2.106989955367111,1
3.5714114072575103,5.375966516343387,1
3.4770008817466014,5.325695625652899,1
6.048838049274416,1.6134951080722668,1
5.496991309250149,1.392905693606134,1
3.0025567283212307,4.882706433312427,1
6.4752119190930255,1.7115481721687984,1
5.990491896048655,1.4987353176810956,1
6.761562038634828,2.2694550218423295,1
3.406262911197099,5.678120014285412,1
6.04329489373645,1.9221613823039603,1
5.569793317358024,1.8077222278850873,1
5.4083707436671125,0.9803839111199497,1
5.587251401603744,1.8393070791735033,1
5.756196887963753,1.7837209060901895,1
5.968660451363414,2.477571160250619,1
2.0406143923504794,4.986743062275392,1
3.043523534119086,4.850496324767066,1
5.064604039487072,1.8242432579793457,1
5.550792664325821,2.245959585753253,1
2.613587392731214,4.881590696629996,1
5.989549203017926,2.058663691654391,1
6.009209189594776,2.8382186561376415,1
3.3692332899977053,5.085684140594985,1
6.340976485647482,1.844866621703272,1
6.185572936685654,1.6980074066420898,1
2.5402878828830984,5.77496720250877,1
3.0349010424950094,4.80734320156912,1
3.481688064622161,5.206390463468249,1
6.162083176244221,1.9349284728161578,1
5.196776839871214,2.1017318179336115,1
5.275957829251338,1.2962681128117224,1
5.165297359439315,2.2716800961899675,1
2.504731837434656,4.716851135198614,1
5.73487119081378,1.6035635838688278,1
5.4661897853087025,1.9288102574893533,1
3.2524936394902286,5.432877597085061,1
5.5855024945389635,1.7199094799015153,1
2.735119898116481,5.256633716556678,1
6.155453782799002,2.737678108474776,1
5.4813769228367715,1.904830660958196,1
4.966278949980062,1.9554399802436058,1
3.033764102343962,4.287625906893272,1
6.28853606359027,1.8984773069785037,1
2.768291153593769,4.767135123214872,1
2.760412881077355,4.907170511668092,1
6.312059908526077,2.31417275463214,1
2.6615389998470205,5.305838144420434,1
3.1252464251729384,5.1732241047484875,1
5.875517925760463,2.4857854754771775,1
6.2394899128731955,2.166831052643474,1
6.843570817536282,2.4408198784747253,1
2.963994939209833,5.501766448946012,1
6.135228412889919,1.9748809452754315,1
2.890164056081244,5.178556285755874,1
3.738947022370758,4.740864890863176,1
4.066516687328133,4.023956100238749,1
6.17087798788858,2.938085419607943,1
3.406758608684835,4.3845678417830225,1
5.674678715439087,1.7564373081176519,1
3.720636644533058,4.2820689244102805,1
5.865296582777721,2.358771127897981,1
3.099529847786735,4.6998915614206025,1
2.903819517609439,5.150773671166807,1
3.1620419846973977,4.807458859791842,1
3.7896064077536957,5.383717364576454,1
2.94217585880588,4.849448152205356,1
3.129941397124212,5.390911435888655,1
6.012255087129471,2.248999145622725,1
5.242404468900724,2.6834371337222622,1
2.224668284466934,5.034281487403014,1
3.045880388267751,4.006215542699554,1
2.3695580228324773,5.458930973527388,1
2.4245032112888487,5.187849009172836,1
6.183299123048424,1.5300601068363224,1
6.250458593812191,1.5112223776007245,1
6.273548690585019,1.898903673783053,1
6.122483285554361,1.7465284123144351,1
7.094901466608836,1.5958508573224242,1
2.9826441151473784,4.415660981190234,1
6.3070833500217125,2.3787538550236524,1
3.1404959338675162,4.688650240089703,1
6.192032724469653,1.9836526259529534,1
2.769680614520106,5.528561113109458,1
5.936041204259617,1.5222297796997872,1
6.529212243424794,1.1206302567884427,1
2.6348166841414318,5.108229294790988,1
2.5580712818994336,5.076862552972764,1
3.457701058851037,5.164375554829842,1
2.9193571441669954,5.20202542840727,1
3.086590462925591,5.192658689864419,1
2.493584439832788,5.157123666297637,1
3.2366188122867725,4.963585543671564,1
5.300716213090429,2.2814846183452855,1
2.982086980445024,5.782321827907003,1
2.765262807032524,5.2712800217929825,1
2.3359069755507846,5.098430617934562,1
1.9874287066711964,5.093227157384714,1
6.46308877376582,2.9547083202350652,1
6.117807279054283,2.3854325969434833,1
5.777853369961944,2.188650246522426,1
6.345071995855556,1.799389764057082,1
