customer_id,month_idx,year_month,income,total_spend,credit_balance,credit_limit,utilization_ratio,bill_payment_delay_days,bill_due_date,bill_paid_date,n_subs_active,essential_ratio,distress_level,defaulted
CUST_8B243157,0,2022-01,23103.07,46075.22,7283.54,65687.24,0.1109,0,2022-01-16,2022-01-16,5,0.3,0.0,0
CUST_8B243157,1,2022-01,20662.14,64023.48,15406.07,65687.24,0.2345,2,2022-02-15,2022-02-17,5,0.3,0.0,0
CUST_8B243157,2,2022-03,22242.99,39495.05,8355.39,65687.24,0.1272,1,2022-03-17,2022-03-18,5,0.3,0.0,0
CUST_8B243157,3,2022-04,20733.58,43535.74,10542.31,65687.24,0.1605,0,2022-04-16,2022-04-16,5,0.3,0.0,0
CUST_8B243157,4,2022-05,23197.22,53263.8,13328.32,65687.24,0.2029,6,2022-05-16,2022-05-22,5,0.3,0.0,0
CUST_8B243157,5,2022-05,22754.69,47080.97,10995.2,65687.24,0.1674,0,2022-06-15,2022-06-15,5,0.3,0.0,0
CUST_8B243157,6,2022-06,24633.46,25383.61,9559.18,65687.24,0.1455,0,2022-07-15,2022-07-15,5,0.3,0.0,0
CUST_8B243157,7,2022-07,23981.68,50895.43,10150.52,65687.24,0.1545,2,2022-08-14,2022-08-16,5,0.3,0.0,0
CUST_8B243157,8,2022-08,22035.44,58352.4,10592.79,65687.24,0.1613,4,2022-09-13,2022-09-17,5,0.3,0.0,0
CUST_8B243157,9,2022-09,24599.79,48795.75,10218.49,65687.24,0.1556,2,2022-10-13,2022-10-15,5,0.3,0.0,0
CUST_8B243157,10,2022-10,23436.46,69945.16,13025.55,65687.24,0.1983,0,2022-11-12,2022-11-12,5,0.3,0.0,0
CUST_8B243157,11,2022-11,22383.48,80954.53,7824.4,65687.24,0.1191,0,2022-12-12,2022-12-12,5,0.3,0.0,0
CUST_8B243157,12,2022-12,22729.25,70629.54,10870.65,65687.24,0.1655,0,2023-01-11,2023-01-11,5,0.3,0.0,0
CUST_8B243157,13,2023-01,21284.74,39262.87,5955.17,65687.24,0.0907,3,2023-02-10,2023-02-13,5,0.3,0.0,0
CUST_8B243157,14,2023-02,24080.55,64907.09,11508.86,65687.24,0.1752,4,2023-03-12,2023-03-16,5,0.3,0.0,0
CUST_8B243157,15,2023-03,24949.71,29057.08,10666.92,65687.24,0.1624,0,2023-04-11,2023-04-11,5,0.3,0.0,0
CUST_8B243157,16,2023-04,24268.39,31753.24,7819.36,65687.24,0.119,0,2023-05-11,2023-05-11,5,0.3,0.0,0
CUST_8B243157,17,2023-05,21578.84,58165.76,17489.14,65687.24,0.2662,0,2023-06-10,2023-06-10,5,0.3,0.0,0
CUST_559401A6,0,2022-01,83233.01,30387.48,79363.17,286659.48,0.2769,0,2022-01-16,2022-01-16,5,0.3,0.0,0
CUST_559401A6,1,2022-01,81929.6,57929.69,88697.54,286659.48,0.3094,2,2022-02-15,2022-02-17,5,0.3,0.0,0
CUST_559401A6,2,2022-03,74881.66,38809.9,93876.39,286659.48,0.3275,7,2022-03-17,2022-03-24,5,0.3,0.0,0
CUST_559401A6,3,2022-04,78650.92,45042.63,102228.04,286659.48,0.3566,0,2022-04-16,2022-04-16,5,0.3,0.0,0
CUST_559401A6,4,2022-05,75016.91,41387.51,87897.35,286659.48,0.3066,0,2022-05-16,2022-05-16,5,0.3,0.0,0
CUST_559401A6,5,2022-05,81805.63,68586.21,81342.6,286659.48,0.2838,1,2022-06-15,2022-06-16,5,0.3,0.0,0
CUST_559401A6,6,2022-06,82842.41,58305.26,101577.93,286659.48,0.3544,0,2022-07-15,2022-07-15,5,0.3,0.0,0
CUST_559401A6,7,2022-07,76987.75,46058.32,100616.99,286659.48,0.351,0,2022-08-14,2022-08-14,5,0.3,0.0,0
CUST_559401A6,8,2022-08,83055.23,23374.12,87669.24,286659.48,0.3058,0,2022-09-13,2022-09-13,5,0.3,0.0,0
CUST_559401A6,9,2022-09,75257.5,47580.57,90758.97,286659.48,0.3166,2,2022-10-13,2022-10-15,5,0.3,0.0,0
CUST_559401A6,10,2022-10,77189.14,28985.2,76007.31,286659.48,0.2651,0,2022-11-12,2022-11-12,5,0.3,0.0,0
CUST_559401A6,11,2022-11,81423.22,61091.29,78004.14,286659.48,0.2721,0,2022-12-12,2022-12-12,5,0.3,0.0,0
CUST_559401A6,12,2022-12,78607.76,20568.33,85677.29,286659.48,0.2989,0,2023-01-11,2023-01-11,5,0.3,0.0,0
CUST_559401A6,13,2023-01,76532.08,24365.27,74613.48,286659.48,0.2603,0,2023-02-10,2023-02-10,5,0.3,0.0,0
CUST_559401A6,14,2023-02,78264.88,51210.92,92007.77,286659.48,0.321,0,2023-03-12,2023-03-12,5,0.3,0.0,0
CUST_559401A6,15,2023-03,79395.24,52514.1,78531.8,286659.48,0.274,4,2023-04-11,2023-04-15,5,0.3,0.0,0
CUST_559401A6,16,2023-04,80015.11,69951.79,94627.38,286659.48,0.3301,1,2023-05-11,2023-05-12,5,0.3,0.0,0
CUST_559401A6,17,2023-05,81850.72,51436.78,92502.9,286659.48,0.3227,0,2023-06-10,2023-06-10,5,0.3,0.0,0
CUST_B9EECA8C,0,2022-01,78983.33,59500.14,61111.23,379898.88,0.1609,1,2022-01-16,2022-01-17,5,0.3,0.0,0
CUST_B9EECA8C,1,2022-01,85143.57,25057.64,56359.64,379898.88,0.1484,0,2022-02-15,2022-02-15,5,0.3,0.0,0
CUST_B9EECA8C,2,2022-03,72047.31,29357.33,60631.7,379898.88,0.1596,4,2022-03-17,2022-03-21,5,0.3,0.0,0
CUST_B9EECA8C,3,2022-04,77313.77,58521.44,54282.98,379898.88,0.1429,0,2022-04-16,2022-04-16,5,0.3,0.0,0
CUST_B9EECA8C,4,2022-05,79747.33,33881.71,70148.34,379898.88,0.1847,2,2022-05-16,2022-05-18,5,0.3,0.0,0
CUST_B9EECA8C,5,2022-05,76714.05,62692.31,37404.57,379898.88,0.0985,0,2022-06-15,2022-06-15,5,0.3,0.0,0
CUST_B9EECA8C,6,2022-06,77005.36,33768.88,40363.73,379898.88,0.1062,0,2022-07-15,2022-07-15,5,0.3,0.0,0
CUST_B9EECA8C,7,2022-07,84581.38,31539.15,71058.87,379898.88,0.187,0,2022-08-14,2022-08-14,5,0.3,0.0,0
CUST_B9EECA8C,8,2022-08,79408.86,70011.87,52620.95,379898.88,0.1385,3,2022-09-13,2022-09-16,5,0.3,0.0,0
CUST_B9EECA8C,9,2022-09,81422.45,69956.15,47488.36,379898.88,0.125,4,2022-10-13,2022-10-17,5,0.3,0.0,0
CUST_B9EECA8C,10,2022-10,75960.34,52906.29,47683.44,379898.88,0.1255,0,2022-11-12,2022-11-12,5,0.3,0.0,0
CUST_B9EECA8C,11,2022-11,78355.05,56983.66,55058.52,379898.88,0.1449,0,2022-12-12,2022-12-12,5,0.3,0.0,0
CUST_B9EECA8C,12,2022-12,76530.05,30845.72,51286.24,379898.88,0.135,4,2023-01-11,2023-01-15,5,0.3,0.0,0
CUST_B9EECA8C,13,2023-01,76697.73,52319.74,49365.37,379898.88,0.1299,5,2023-02-10,2023-02-15,5,0.3,0.0,0
CUST_B9EECA8C,14,2023-02,71316.75,37242.6,67860.07,379898.88,0.1786,2,2023-03-12,2023-03-14,5,0.3,0.0,0
CUST_B9EECA8C,15,2023-03,78379.35,65405.68,60004.96,379898.88,0.1579,1,2023-04-11,2023-04-12,5,0.3,0.0,0
CUST_B9EECA8C,16,2023-04,82540.98,33079.99,58412.52,379898.88,0.1538,2,2023-05-11,2023-05-13,5,0.3,0.0,0
CUST_B9EECA8C,17,2023-05,77542.95,17516.7,52953.02,379898.88,0.1394,2,2023-06-10,2023-06-12,5,0.3,0.0,0
CUST_9A3515AF,0,2022-01,143605.92,66327.22,167848.12,554361.73,0.3028,0,2022-01-16,2022-01-16,5,0.3,0.0,1
CUST_9A3515AF,1,2022-01,139897.73,67068.36,162343.76,554361.73,0.2928,2,2022-02-15,2022-02-17,5,0.3,0.0,1
CUST_9A3515AF,2,2022-03,149061.31,35576.4,178493.8,554361.73,0.322,0,2022-03-17,2022-03-17,5,0.3,0.0,1
CUST_9A3515AF,3,2022-04,144451.38,29335.67,180471.41,554361.73,0.3255,0,2022-04-16,2022-04-16,5,0.3,0.0,1
CUST_9A3515AF,4,2022-05,143053.88,69292.63,208872.78,554361.73,0.3768,0,2022-05-16,2022-05-16,5,0.3,0.0,1
CUST_9A3515AF,5,2022-05,140033.24,35783.68,187697.88,554361.73,0.3386,0,2022-06-15,2022-06-15,5,0.3151,0.0432,1
